# Rime user dictionary
#@/db_name	moqi
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	1633
#@/user_id	b9b9d84e-d65d-4f94-b6e5-e4206f09e7a8
an[bn pd[ff 	安排	c=1 d=0.467666 t=1633
xu[hy ni[fr 	虚拟	c=0 d=0.00161635 t=1633
xu[hy ni[fr is[bl wu[nw 	虚拟宠物	c=1 d=0.0162445 t=1633
xu[ye qq[au 	需求	c=6 d=1.93178 t=1633
xu[ye yc[xn 	需要	c=11 d=1.52284 t=1633
xx 	下	c=2 d=0.190713 t=1633
xx[ab la[fl 	下拉	c=3 d=0.020022 t=1633
xx[ab mm[ao 	下面	c=3 d=0.137461 t=1633
xx[ab wu[pu 	下午	c=2 d=0.074392 t=1633
xx[ab wu[pu qu[ts 	下午去	c=1 d=0.0280368 t=1633
xx[ab yi[aa bu[vu 	下一步	c=1 d=0.0141931 t=1633
xx[ab yi[aa uz[bz 	下一首	c=1 d=0.00748391 t=1633
xy[yi lm[sd 	训练	c=1 d=0.102284 t=1633
yb[ex ch[ci 	隐藏	c=3 d=0.114832 t=1633
yb[lo yt[px 	音乐	c=7 d=0.0455904 t=1633
yb[lo yt[px bo[ft fh[fw qi[kk 	音乐播放器	c=1 d=0.00621991 t=1633
yc 	要	c=5 d=0.24542 t=1633
yc an[bn vl[ly 	要安装	c=2 d=0.295578 t=1633
yc[xn bu[ab 	要不	c=0 d=0.000164502 t=1633
yc[xn bu[ab wo 	要不我	c=1 d=0.00165327 t=1633
yc[xn qq[au 	要求	c=1 d=0.0214936 t=1633
yc[xn zz[tz 	要走	c=1 d=0.000383949 t=1633
ye[ab mm[ao 	页面	c=12 d=1.40155 t=1633
yh 	杨	c=4 d=0.127294 t=1633
yh[my ui[yg 	样式	c=1 d=0.0478349 t=1633
yh[my zi[la 	样子	c=1 d=0.323033 t=1633
yh[yl 	养	c=2 d=1.39888 t=1633
yi 	已	c=2 d=0.35577 t=1633
yi[aa ci[dq 	一次	c=3 d=0.0089038 t=1633
yi[aa dk[bz 	一定	c=2 d=0.0327319 t=1633
yi[aa dk[bz yc[xn 	一定要	c=0 d=0.00561348 t=1633
yi[aa dk[bz yc[xn ui[bd xm[wj 	一定要实现	c=1 d=0.0564161 t=1633
yi[aa ff[rf 	一份	c=1 d=0.00122477 t=1633
yi[aa ge[rl 	一个	c=7 d=0.906536 t=1633
yi[aa hv[ry 	一会	c=1 d=0.00887071 t=1633
yi[aa ih[tp 	一场	c=1 d=0.124307 t=1633
yi[aa jm[mo 	一间	c=1 d=0.172907 t=1633
yi[aa jx[bu 	一家	c=1 d=0.0028799 t=1633
yi[aa nm[pf 	一年	c=1 d=0.00190171 t=1633
yi[aa qi[tj 	一起	c=1 d=0.000459671 t=1633
yi[aa ww[rl 	一位	c=1 d=0.582748 t=1633
yi[aa xp[ve 	一些	c=1 d=0.0468877 t=1633
yi[aa xx[ab 	一下	c=6 d=0.343195 t=1633
yi[aa yh[my 	一样	c=1 d=0.00242967 t=1633
yi[bz wf[mk 	疑问	c=1 d=0.011109 t=1633
yi[hx ds[yl 	移动	c=1 d=0.00460782 t=1633
yi[ku ug[pf 	医生	c=1 d=0.0259911 t=1633
yi[kv gg[an xb[lj 	已更新	c=1 d=0.0547488 t=1633
yi[kv jk[sj 	已经	c=3 d=0.0989787 t=1633
yi[lr hz[ik 	以后	c=1 d=0.248666 t=1633
yi[lr uh[ba 	以上	c=0 d=0.00432828 t=1633
yi[lr uh[ba ir 	以上穿	c=1 d=0.0434998 t=1633
yi[lx si[tx 	意思	c=2 d=0.0836834 t=1633
yi[lx tu[kd 	意图	c=1 d=0.0769192 t=1633
yi[sc ih[xj 	异常	c=1 d=0.12493 t=1633
yj 	盐	c=0 d=0.000540733 t=1633
yj xn[lb yu[au 	盐小于	c=1 d=0.00543443 t=1633
yj[db ui[ex 	演示	c=3 d=0.0255325 t=1633
yj[mq vg[yv 	验证	c=1 d=0.113042 t=1633
yj[ms 	闫	c=1 d=0.740818 t=1633
yj[uk fa[fy 	研发	c=7 d=1.12818 t=1633
yj[zv hz[ik 	延后	c=1 d=0.0278757 t=1633
yk[ga gd[yr ui[oz 	应该是	c=1 d=0.000500451 t=1633
yk[op xl[kk 	影响	c=1 d=0.0225956 t=1633
yk[ug jm[rn 	硬件	c=2 d=0.134321 t=1633
yr 	元	c=1 d=0.00245409 t=1633
yr[ix ld[am 	原来	c=1 d=0.00960953 t=1633
yr[ix yb[kd 	原因	c=3 d=0.0808322 t=1633
ys 	用	c=1 d=0.00366107 t=1633
yt 	月	c=1 d=0.00932553 t=1633
yu 	与	c=13 d=1.22717 t=1633
yu[yk yb[lo 	语音	c=1 d=0.018968 t=1633
yu[yy dk[bz 	预定	c=0 d=0.0031117 t=1633
yy[zy ds[yl 	运动	c=1 d=0.00453922 t=1633
yy[zy ww[sv 	运维	c=1 d=0.0288686 t=1633
yz 	有	c=7 d=0.544515 t=1633
yz bd[ab yi[rv bu[pb tp[bv 	有百亿补贴	c=1 d=0.00980366 t=1633
yz bi[bb sd[bb 	有比赛	c=1 d=0.00029902 t=1633
yz pk[uk mu[cj 	有屏幕	c=1 d=0.0200405 t=1633
yz zg[bo ss[zt 	有赠送	c=1 d=0.00307331 t=1633
yz[dy 	油	c=1 d=0.00336274 t=1633
yz[ry hx[rb 	优化	c=2 d=0.154212 t=1633
yz[ry hx[rb uu[mw ju[fg 	优化数据	c=1 d=0.102797 t=1633
yz[ry hx[rb yi[aa xx[ab 	优化一下	c=1 d=0.0432828 t=1633
yz[ry qt[fg dm[vh 	优缺点	c=1 d=0.0639279 t=1633
yz[uk uh[ba jn[dy 	右上角	c=1 d=0.0387742 t=1633
yz[uo bm[wy ds[yl 	有变动	c=1 d=0.0117959 t=1633
yz[uo dc[zz 	有道	c=1 d=0.000558643 t=1633
yz[uo dm[vh 	有点	c=1 d=0.0430669 t=1633
yz[uo ji[pv ge[rl 	有几个	c=1 d=0.0510474 t=1633
yz[uo mw[du yz[uo 	有没有	c=2 d=0.0386597 t=1633
yz[uo na[ke xp[ve 	有哪些	c=1 d=0.07502 t=1633
yz[uo ua[kg 	有啥	c=2 d=0.000765413 t=1633
yz[uo uf[ru me[ps 	有什么	c=1 d=0.000338834 t=1633
yz[uo ui[oc jm[mo 	有时间	c=2 d=0.223048 t=1633
yz[uo xn[ww qi[co 	有效期	c=1 d=0.00337959 t=1633
yz[uo yi[aa ge[rl 	有一个	c=1 d=0.0164078 t=1633
yz[uo ys[kf 	有用	c=1 d=0.00251621 t=1633
yz[vn 	又	c=1 d=0.00285124 t=1633
za 	咋	c=1 d=0.0683039 t=1633
za ji[yu hx[gd 	咋计划	c=1 d=0.433874 t=1633
za qk 	咋请	c=1 d=0.45612 t=1633
za ve[zw me[ps tu[bq rj[xh 	咋这么突然	c=1 d=0.000359786 t=1633
za[kv kj[uo 	咋看	c=1 d=0.00822975 t=1633
za[kv yh[my 	咋样	c=5 d=0.211504 t=1633
zd 	在	c=4 d=1.09149 t=1633
zd[ar ci[dq 	再次	c=1 d=0.0380064 t=1633
zd[ut gs[bs si[vk 	在公司	c=1 d=0.00516939 t=1633
zd[ut li[tt mm[ao 	在里面	c=1 d=0.000829241 t=1633
zd[ut uh[ba bj[wl 	在上班	c=1 d=0.00227676 t=1633
ze 	则	c=0 d=6.65481e-05 t=1633
ze ti[fz xk[yu 	则提醒	c=1 d=0.000668817 t=1633
zf[vx me[ps 	怎么	c=1 d=0.054047 t=1633
zf[vx me[ps ng[sb 	怎么能	c=1 d=0.0234005 t=1633
zf[vx me[ps yh[my 	怎么样	c=1 d=0.377192 t=1633
zg[bo 	赠	c=1 d=0.00316691 t=1633
zg[bo pb[kk 	赠品	c=1 d=0.00249118 t=1633
zg[bo ss[zt 	赠送	c=6 d=0.0160791 t=1633
zg[to jx[lk 	增加	c=4 d=0.034365 t=1633
zi 	字	c=1 d=0.155673 t=1633
zi[db ge[mk 	资格	c=2 d=0.00142757 t=1633
zi[po ds[yl 	自动	c=2 d=1.0291 t=1633
zi[po ds[yl fh[fw da[ar 	自动放大	c=1 d=0.251579 t=1633
zi[po yj[uk 	自研	c=1 d=0.0608101 t=1633
zi[rz xi[st 	仔细	c=1 d=0.000510561 t=1633
zj[kz mf[rm 	咱们	c=9 d=0.709462 t=1633
zo 	做	c=2 d=0.00236103 t=1633
zo[rw de[bu 	做的	c=1 d=0.0977834 t=1633
zo[rw yi[aa ge[rl 	做一个	c=1 d=0.460704 t=1633
zs 	总	c=4 d=0.609093 t=1633
zs[bx bu[le 	总部	c=1 d=0.00171216 t=1633
zs[bx mm[ao ji[hv 	总面积	c=1 d=0.17552 t=1633
zu[sq jm[rn 	组件	c=2 d=0.00105751 t=1633
zu[sq vi[sv 	组织	c=3 d=0.0914251 t=1633
zv[oy di[ru 	最低	c=1 d=0.00269866 t=1633
zv[oy do[xx 	最多	c=0 d=3.02025e-05 t=1633
zv[oy do[xx bc[rm cy[uz 	最多保存	c=1 d=0.000303539 t=1633
zv[oy xb[lj 	最新	c=2 d=0.976831 t=1633
zv[yu jx[lm 	醉驾	c=1 d=0.00412784 t=1633
zz 	走	c=1 d=0.0040845 t=1633
